20:30.4,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.104579439,0.2,0.20172043,1611.912896,0
2,100,0.264579439,0.33,0.330967742,1311.663585,0
3,100,0.184579439,0.26,0.25172043,1412.136577,0
4,100,0.039065421,0.09,0.085053763,910.0785753,1
5,100,0.134579439,0.26,0.26172043,1711.87716,0
6,100,0.134579439,0.22,0.21172043,1411.391947,0
7,100,0.284579439,0.37,0.380967742,1311.381251,1
8,100,0.174579439,0.27,0.26172043,1410.635987,0
9,100,0.224579439,0.34,0.33172043,908.9588119,0
10,100,0.114579439,0.21,0.20172043,1411.436644,0
11,100,0.134579439,0.23,0.22172043,1510.755999,2
12,100,0.184579439,0.31,0.30172043,1307.887874,2
13,100,0.13,0.22,0.220967742,1412.053114,0
14,100,0.314579439,0.38,0.385483871,1412.053474,0
15,100,0.164579439,0.27,0.27172043,1512.148207,0
16,100,0.154579439,0.25,0.24172043,1311.646057,0
17,100,0.034579439,0.09,0.10172043,1111.518705,2
18,100,0.17,0.25,0.24172043,1412.115724,0
19,100,0.114579439,0.22,0.21172043,1108.338597,8
20,100,0.224579439,0.3,0.29172043,1211.826972,0
21,100,0.109065421,0.15,0.147311828,812.3271305,0
22,100,0.224579439,0.31,0.30172043,1412.402402,0
23,100,0.07,0.12,0.107311828,710.3347192,3
24,100,0.114579439,0.2,0.19172043,1311.551393,0
25,100,0.274579439,0.36,0.35172043,1208.009522,1
26,100,0.214579439,0.3,0.29172043,1308.979783,0
27,100,0.084579439,0.2,0.19172043,1307.700113,1
28,100,0.134579439,0.24,0.24172043,1612.492072,0
29,100,0.184579439,0.26,0.260967742,1411.386402,0
30,100,0.224579439,0.33,0.32172043,1411.736788,0
31,100,0.264579439,0.35,0.34172043,807.9113826,5
32,100,0.134579439,0.24,0.23172043,1211.207751,0
33,100,0.234579439,0.32,0.32172043,1408.184476,3
34,100,0.184579439,0.27,0.27172043,1512.119564,0
35,100,0.334579439,0.39,0.38172043,1112.008987,0
36,100,0.204579439,0.3,0.30172043,1612.047964,0
37,100,0.264579439,0.35,0.35172043,1512.472502,0
38,100,0.294579439,0.38,0.38172043,1312.353479,0
39,100,0.134579439,0.27,0.26172043,1107.988795,5
40,100,0.124579439,0.22,0.21172043,1307.824058,3
41,100,0.154579439,0.25,0.24172043,1511.540879,3
42,100,0.104579439,0.23,0.22172043,1506.74155,2
43,100,0.114579439,0.22,0.21172043,1408.279365,1
44,100,0.124579439,0.21,0.21172043,1511.721331,0
45,100,0.184579439,0.28,0.275483871,1309.9182,0
46,100,0.254579439,0.34,0.33172043,1307.787127,4
47,100,0.214579439,0.34,0.33172043,1308.266932,6
48,100,0.314579439,0.4,0.41172043,1512.485292,0
49,100,0.204579439,0.27,0.26172043,1309.820547,0
50,100,0.214579439,0.37,0.36172043,1207.401741,9
Average,,0.179684112,0.2708,0.266701075,1320.536408,1.24
