00:00.0,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.065794393,0.09,0.087311828,4.39702381,0
2,100,0.109065421,0.13,0.182580645,7.395300752,0
3,100,0.059065421,0.07,0.134731183,103.9056818,0
4,100,0.109065421,0.13,0.153333333,7.3875,0
5,100,0.069065421,0.06,0.124731183,104.0415404,12
6,100,0.105794393,0.13,0.172580645,4.644635628,0
7,100,0.109065421,0.12,0.182580645,5.295833333,0
8,100,0.109065421,0.13,0.182580645,4.838888889,1
9,100,0.115794393,0.14,0.172580645,7.984261134,0
10,100,0.145794393,0.17,0.203333333,8.375641026,0
11,100,0.145794393,0.17,0.232580645,8.951136364,0
12,100,0.155794393,0.18,0.222580645,7.1875,0
13,100,0.135794393,0.16,0.222580645,8.853431373,0
14,100,0.069065421,0.06,0.103333333,3.37127451,1
15,100,0.125794393,0.15,0.202580645,7.888888889,1
16,100,0.129065421,0.15,0.183333333,6.945510836,0
17,100,0.085794393,0.11,0.142580645,7.610606061,0
18,100,0.095794393,0.12,0.162580645,7.448809524,0
19,100,0.109065421,0.12,0.163333333,3.576236264,0
20,100,0.135794393,0.16,0.222580645,8.353921569,0
21,100,0.125794393,0.15,0.192580645,8.258427602,1
22,100,0.089065421,0.05,0.094731183,103.2563375,10
23,100,0.225794393,0.25,0.293333333,9.8625,0
24,100,0.109065421,0.12,0.162580645,7.840091036,0
25,100,0.175794393,0.2,0.243333333,8.8,0
26,100,0.169065421,0.18,0.232580645,4.116666667,0
27,100,0.129065421,0.14,0.192580645,7.42463925,2
28,100,0.069065421,0.09,0.142580645,104.077381,3
29,100,0.165794393,0.19,0.242580645,8.516666667,1
30,100,0.145794393,0.17,0.212580645,7.06561086,0
31,100,0.165794393,0.19,0.233333333,7.279166667,0
32,100,0.115794393,0.14,0.173333333,6.680533063,1
33,100,0.079065421,0.1,0.142580645,3.791071429,1
34,100,0.129065421,0.14,0.172580645,104.4635472,3
35,100,0.089065421,0.11,0.153333333,7.419047619,0
36,100,0.155794393,0.18,0.232580645,9.176136364,0
37,100,0.079065421,0.1,0.132580645,8.389285714,0
38,100,0.099065421,0.06,0.144731183,4.950793651,13
39,100,0.079065421,0.05,0.124731183,103.2706232,7
40,100,0.125794393,0.15,0.222580645,8.531623932,1
41,100,0.135794393,0.16,0.212580645,7.728431373,0
42,100,0.079065421,0.08,0.132580645,107.5082251,3
43,100,0.109065421,0.12,0.142580645,3.160644258,0
44,100,0.135794393,0.16,0.212580645,8.173179272,0
45,100,0.135794393,0.16,0.212580645,5.686217949,1
46,100,0.125794393,0.15,0.203333333,7.802777778,1
47,100,0.165794393,0.19,0.232580645,8.45232684,1
48,100,0.115794393,0.14,0.173333333,7.825,0
49,100,0.145794393,0.17,0.212580645,8.7760181,0
50,100,0.125794393,0.15,0.192580645,7.711111111,1
,,0.119633645,0.1358,0.182470968,,
