00:00.0,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.119065421,0.23,0.365483871,1511.585784,0
2,100,0.119065421,0.27,0.345483871,1111.261099,0
3,100,0.139065421,0.19,0.285483871,1406.27794,7
4,100,0.079065421,0.17,0.255483871,1206.437076,0
5,100,0.126448598,0.15,0.208817204,405.4298975,2
6,100,0.129065421,0.19,0.275483871,1409.460673,0
7,100,0.056448598,0.15,0.205483871,906.7950728,4
8,100,0.109065421,0.16,0.188817204,1710.406353,1
9,100,0.129065421,0.19,0.285483871,1210.095742,0
10,100,0.099065421,0.16,0.245483871,1108.603208,0
11,100,0.069065421,0.17,0.255483871,1506.874755,4
12,100,0.042803738,0.12,0.195483871,1206.11351,5
13,100,0.129065421,0.22,0.335483871,1510.987872,1
14,100,0.052803738,0.14,0.255483871,1005.330387,3
15,100,0.149065421,0.2,0.228817204,1709.050693,1
16,100,0.149065421,0.18,0.235483871,1509.307909,0
17,100,0.109065421,0.19,0.255483871,1409.551046,0
18,100,0.119065421,0.22,0.295483871,1010.846517,1
19,100,0.101869159,0.22,0.315483871,1010.560564,1
20,100,0.119065421,0.18,0.255483871,1209.660119,1
21,100,0.069065421,0.18,0.295483871,1407.650207,3
22,100,0.149065421,0.16,0.205483871,1106.564087,6
23,100,0.106448598,0.24,0.315483871,1207.125054,0
24,100,0.079065421,0.18,0.215483871,1410.466413,1
25,100,0.109065421,0.16,0.185053763,1010.703008,0
26,100,0.099065421,0.19,0.225483871,1409.266945,1
27,100,0.139065421,0.22,0.335483871,1511.048553,0
28,100,0.089065421,0.13,0.175483871,706.447038,5
29,100,0.099065421,0.22,0.295483871,1110.20065,0
30,100,0.119065421,0.16,0.255483871,907.3272615,3
31,100,0.072803738,0.13,0.245483871,1108.078895,5
32,100,0.079065421,0.16,0.245483871,906.388289,1
33,100,0.079065421,0.17,0.218817204,1107.511004,3
34,100,0.079065421,0.17,0.255483871,806.5891743,1
35,100,0.069065421,0.14,0.195483871,807.5659791,3
36,100,0.111869159,0.14,0.205483871,709.8567603,1
37,100,0.109065421,0.18,0.275483871,1509.535326,1
38,100,0.099065421,0.15,0.215483871,908.0541569,1
39,100,0.128130841,0.17,0.285483871,1108.069065,11
40,100,0.069065421,0.12,0.205483871,1205.895052,4
41,100,0.149065421,0.21,0.285483871,1710.443864,0
42,100,0.149065421,0.22,0.265483871,1511.77018,0
43,100,0.119065421,0.17,0.255483871,1310.992402,0
44,100,0.079065421,0.2,0.355483871,806.4798067,13
45,100,0.109065421,0.18,0.265483871,1309.205661,1
46,100,0.149065421,0.22,0.335483871,1611.338396,0
47,100,0.129065421,0.18,0.225483871,1309.370369,0
48,100,0.119065421,0.21,0.285483871,1409.355139,1
49,100,0.099065421,0.19,0.285483871,1110.351242,0
50,100,0.109065421,0.17,0.245483871,1308.749673,0
,,0.106226168,0.1804,0.258941935,,1.92
