19:15.9,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.145794393,0.17,0.17483871,8.091666667,0
2,100,0.145794393,0.17,0.17483871,8.522864146,0
3,100,0.049065421,0.06,0.06483871,3.846230159,7
4,100,0.109065421,0.13,0.13483871,4.100860324,0
5,100,0.109065421,0.12,0.12483871,2.37760989,2
6,100,0.105794393,0.13,0.13483871,6.654166667,0
7,100,0.049065421,0.05,0.05483871,104.9172619,4
8,100,0.115794393,0.14,0.14483871,7.900219298,1
9,100,0.095794393,0.12,0.12483871,6.701785714,0
10,100,0.135794393,0.16,0.16483871,6.079166667,0
11,100,0.095794393,0.12,0.12483871,104.2056373,4
12,100,0.055794393,0.08,0.08483871,103.8607647,5
13,100,0.135794393,0.16,0.16483871,7.609370287,1
14,100,0.049065421,0.07,0.07483871,102.9310041,3
15,100,0.165794393,0.19,0.19483871,7.350595238,1
16,100,0.105794393,0.13,0.13483871,7.099404762,0
17,100,0.105794393,0.13,0.13483871,7.241666667,0
18,100,0.135794393,0.16,0.16483871,8.745833333,1
19,100,0.145794393,0.17,0.17483871,8.061217949,1
20,100,0.085794393,0.11,0.11483871,7.202836134,1
21,100,0.049065421,0.05,0.053333333,104.3163576,3
22,100,0.049065421,0.07,0.07483871,4.543592437,6
23,100,0.119065421,0.14,0.14483871,4.227295009,0
24,100,0.115794393,0.14,0.147311828,7.95873323,1
25,100,0.115794393,0.14,0.14483871,8.063690476,0
26,100,0.095794393,0.12,0.12483871,6.910119048,1
27,100,0.135794393,0.16,0.16483871,8.8,0
28,100,0.02,0.02,0.022688172,3.883277514,5
29,100,0.115794393,0.14,0.14483871,7.675219298,0
30,100,0.079065421,0.1,0.10483871,105.3063645,3
31,100,0.014205607,0.01,0.014731183,4.805833333,5
32,100,0.105794393,0.13,0.13483871,3.576568826,1
33,100,0.095794393,0.12,0.12483871,104.766886,3
34,100,0.065794393,0.09,0.09483871,4.364015152,1
35,100,0.059065421,0.08,0.077311828,5.172619048,3
36,100,0.125794393,0.15,0.15483871,6.842982456,1
37,100,0.115794393,0.14,0.14483871,7.575219298,1
38,100,0.089065421,0.11,0.11483871,5.303800366,1
39,100,0.014205607,0.01,0.014731183,4.971743697,11
40,100,0.019065421,0.04,0.03483871,102.8996195,4
41,100,0.125794393,0.15,0.15483871,7.627850877,0
42,100,0.165794393,0.19,0.19483871,8.880357143,0
43,100,0.115794393,0.14,0.14483871,8.0375,0
44,100,0.017383178,0.01,0.006666667,3.953289474,13
45,100,0.125794393,0.15,0.15483871,6.723611111,1
46,100,0.145794393,0.17,0.17483871,8.522864146,0
47,100,0.085794393,0.11,0.11483871,6.446374459,0
48,100,0.079065421,0.1,0.10483871,6.240064103,1
49,100,0.125794393,0.15,0.15483871,7.509902159,0
50,100,0.125794393,0.15,0.15483871,5.948611111,0
,,0.097097196,0.117,0.121296774,,1.92
