00:00.0,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.022803738,0.01,0.018817204,3107.961853,33
2,100,0.022149533,0.01,0.01344086,3208.744487,26
3,100,0.016448598,0.02,0.019569892,1805.906449,32
4,100,0.041869159,0.01,0.015053763,2707.208338,23
5,100,0.02953271,0.01,0.026989247,3207.473626,36
6,100,0.021869159,0.01,0.019569892,3207.562183,35
7,100,0.016448598,0.02,0.019569892,3409.01226,33
8,100,0.051869159,0.01,0.024946237,2407.94381,33
9,100,0.029065421,0.02,0.019569892,2806.149404,28
10,100,0.024579439,0.01,0.019569892,2708.518286,27
11,100,0.061869159,0.03,0.029569892,1906.74398,20
12,100,0.038130841,0.02,0.019569892,2608.908168,33
13,100,0.051869159,0.01,0.010752688,3007.998757,31
14,100,0.048130841,0.03,0.029247312,2509.774986,30
15,100,0.019065421,0.03,0.029247312,2608.629867,33
16,100,0.02953271,0.01,0.01344086,2908.432692,35
17,100,0.022803738,0.01,0.014946237,2908.106915,30
18,100,0.071869159,0.01,0.019569892,3205.640139,24
19,100,0.018130841,0.02,0.019569892,1408.190899,20
20,100,0.018130841,0.01,0.015053763,2206.274406,30
21,100,0.101869159,0.02,0.025053763,2109.368237,14
22,100,0.051869159,0.01,0.018817204,3006.618375,28
23,100,0.019065421,0.02,0.026989247,1907.599243,23
24,100,0.031869159,0.01,0.014946237,2306.307746,25
25,100,0.031869159,0.01,0.01344086,3306.54072,42
26,100,0.012803738,0.01,0.014946237,2206.667728,25
27,100,0.051869159,0.02,0.019569892,1707.249992,22
28,100,0.071869159,0.02,0.019569892,2809.049654,26
29,100,0.039065421,0.02,0.019569892,2305.586103,32
30,100,0.022803738,0.02,0.019569892,2605.770131,28
31,100,0.081869159,0.02,0.019569892,3106.923385,29
32,100,0.019065421,0.01,0.015053763,3407.165039,34
33,100,0.016074766,0.02,0.026236559,2108.30118,31
34,100,0.016448598,0.02,0.019569892,3507.300589,32
35,100,0.016448598,0.02,0.019569892,2810.266897,26
36,100,0.014579439,0.01,0.010752688,2505.854133,21
37,100,0.019065421,0.02,0.019569892,2508.109164,35
38,100,0.041869159,0.02,0.019569892,2406.751524,19
39,100,0.019065421,0.02,0.019569892,2408.249872,34
40,100,0.031869159,0.02,0.026236559,2006.895149,21
41,100,0.081869159,0.01,0.014946237,2905.884069,25
42,100,0.032803738,0.02,0.019569892,3208.19344,31
43,100,0.019065421,0.02,0.019569892,3306.104734,30
44,100,0.011869159,0.01,0.015053763,2906.596381,28
45,100,0.022803738,0.01,0.015483871,2907.95293,37
46,100,0.014579439,0.01,0.019569892,1607.259381,31
47,100,0.071869159,0.01,0.025483871,2805.617893,33
48,100,0.051869159,0.02,0.019569892,2907.882558,28
49,100,0.03953271,0.01,0.016236559,3007.03018,30
50,100,0.041869159,0.02,0.019569892,1905.992733,20
,,0.03511215,0.0158,0.019425806,,28.64
