0 : 0.0
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.03214953271028037,0.03,0.05698924731182796,2510.477349763877,19
2,100,0.09457943925233644,0.14,0.13172043010752688,2504.6988684801986,20
3,100,0.03906542056074766,0.04,0.036989247311827955,2509.3676535882423,28
4,100,0.04457943925233645,0.08,0.09096774193548388,2308.116806722689,22
5,100,0.016074766355140185,0.07,0.07172043010752688,2205.6773655604034,18
6,100,0.08457943925233645,0.14,0.14096774193548386,2306.368836637219,26
7,100,0.04,0.07,0.06548387096774194,3110.0170826643302,30
8,100,0.07457943925233645,0.11,0.12172043010752688,1506.496989502872,21
9,100,0.022149532710280372,0.05,0.04548387096774194,2210.291770647653,18
10,100,0.03214953271028037,0.05,0.047311827956989246,3210.4513097196914,33
11,100,0.03457943925233645,0.07,0.06172043010752688,2605.6666521537213,19
12,100,0.029065420560747665,0.07,0.07172043010752688,2009.977033702657,13
13,100,0.04457943925233645,0.1,0.09172043010752688,2910.4274849333674,29
14,100,0.02280373831775701,0.07,0.08172043010752689,2606.8654358713175,22
15,100,0.03457943925233645,0.1,0.09172043010752688,3309.9873267255616,32
16,100,0.06,0.1,0.09172043010752688,2410.343433236272,23
17,100,0.03280373831775701,0.04,0.06698924731182795,2610.7136927842666,20
18,100,0.039532710280373834,0.09,0.08172043010752689,3210.1187905963793,24
19,100,0.029065420560747665,0.04,0.031720430107526884,3309.3241493234723,27
20,100,0.029065420560747665,0.04,0.05548387096774193,2608.568954504166,18
21,100,0.04906542056074766,0.07,0.06623655913978495,2704.287755871579,30
22,100,0.04457943925233645,0.1,0.09172043010752688,2410.506924699754,18
23,100,0.021962616822429906,0.09,0.09172043010752688,2405.416324307501,17
24,100,0.05457943925233645,0.11,0.11172043010752689,3010.6729949082064,21
25,100,0.04280373831775701,0.05,0.047311827956989246,2710.3792991585688,20
26,100,0.04457943925233645,0.13,0.12172043010752688,2610.2727501256913,21
27,100,0.03906542056074766,0.08,0.07172043010752688,2504.738877793381,21
28,100,0.03,0.06,0.06623655913978495,2607.202262933145,33
29,100,0.03214953271028037,0.04,0.04698924731182796,2509.6354575163396,18
30,100,0.05457943925233645,0.12,0.12172043010752688,3111.2384878193707,27
31,100,0.021962616822429906,0.04,0.04548387096774194,2508.2941467661585,22
32,100,0.04457943925233645,0.11,0.10172043010752688,2205.713630929633,17
33,100,0.03,0.08,0.07172043010752688,2409.821986461251,22
34,100,0.04906542056074766,0.05,0.07698924731182796,3210.3677978883866,30
35,100,0.059065420560747664,0.04,0.03731182795698925,2310.548420270432,18
36,100,0.029065420560747665,0.04,0.07698924731182796,2207.7745842899494,17
37,100,0.04457943925233645,0.07,0.06172043010752688,3009.870496518445,23
38,100,0.04457943925233645,0.09,0.08172043010752689,2210.1039678015795,14
39,100,0.03457943925233645,0.11,0.10172043010752688,2710.1997680792747,20
40,100,0.029065420560747665,0.08,0.07172043010752688,2810.3297271779147,29
41,100,0.03280373831775701,0.02,0.05698924731182796,2709.951411768181,26
42,100,0.03280373831775701,0.03,0.026989247311827957,2409.824338624339,19
43,100,0.03906542056074766,0.04,0.05698924731182796,2909.0588979647796,30
44,100,0.03280373831775701,0.04,0.08698924731182796,2805.8997872497866,29
45,100,0.04046728971962617,0.06,0.07623655913978494,2010.3752723311547,15
46,100,0.059065420560747664,0.04,0.04698924731182796,2608.2286773807664,30
47,100,0.03280373831775701,0.05,0.04924731182795699,2609.9943399770773,24
48,100,0.04457943925233645,0.11,0.11096774193548387,3010.3332351455247,22
49,100,0.04906542056074766,0.05,0.047311827956989246,2408.250334306217,18
50,100,0.03214953271028037,0.04,0.036989247311827955,3309.9059733893555,24
