00:00.0,,,,,,
ID,# of Nodes,Out Degree,Node Activity,MPC,Typed Out Degree,Violations
1,100,0.032149533,0.03,0.056989247,2510.47735,19
2,100,0.094579439,0.14,0.13172043,2504.698868,20
3,100,0.039065421,0.04,0.036989247,2509.367654,28
4,100,0.044579439,0.08,0.090967742,2308.116807,22
5,100,0.016074766,0.07,0.07172043,2205.677366,18
6,100,0.084579439,0.14,0.140967742,2306.368837,26
7,100,0.04,0.07,0.065483871,3110.017083,30
8,100,0.074579439,0.11,0.12172043,1506.49699,21
9,100,0.022149533,0.05,0.045483871,2210.291771,18
10,100,0.032149533,0.05,0.047311828,3210.45131,33
11,100,0.034579439,0.07,0.06172043,2605.666652,19
12,100,0.029065421,0.07,0.07172043,2009.977034,13
13,100,0.044579439,0.1,0.09172043,2910.427485,29
14,100,0.022803738,0.07,0.08172043,2606.865436,22
15,100,0.034579439,0.1,0.09172043,3309.987327,32
16,100,0.06,0.1,0.09172043,2410.343433,23
17,100,0.032803738,0.04,0.066989247,2610.713693,20
18,100,0.03953271,0.09,0.08172043,3210.118791,24
19,100,0.029065421,0.04,0.03172043,3309.324149,27
20,100,0.029065421,0.04,0.055483871,2608.568955,18
21,100,0.049065421,0.07,0.066236559,2704.287756,30
22,100,0.044579439,0.1,0.09172043,2410.506925,18
23,100,0.021962617,0.09,0.09172043,2405.416324,17
24,100,0.054579439,0.11,0.11172043,3010.672995,21
25,100,0.042803738,0.05,0.047311828,2710.379299,20
26,100,0.044579439,0.13,0.12172043,2610.27275,21
27,100,0.039065421,0.08,0.07172043,2504.738878,21
28,100,0.03,0.06,0.066236559,2607.202263,33
29,100,0.032149533,0.04,0.046989247,2509.635458,18
30,100,0.054579439,0.12,0.12172043,3111.238488,27
31,100,0.021962617,0.04,0.045483871,2508.294147,22
32,100,0.044579439,0.11,0.10172043,2205.713631,17
33,100,0.03,0.08,0.07172043,2409.821986,22
34,100,0.049065421,0.05,0.076989247,3210.367798,30
35,100,0.059065421,0.04,0.037311828,2310.54842,18
36,100,0.029065421,0.04,0.076989247,2207.774584,17
37,100,0.044579439,0.07,0.06172043,3009.870497,23
38,100,0.044579439,0.09,0.08172043,2210.103968,14
39,100,0.034579439,0.11,0.10172043,2710.199768,20
40,100,0.029065421,0.08,0.07172043,2810.329727,29
41,100,0.032803738,0.02,0.056989247,2709.951412,26
42,100,0.032803738,0.03,0.026989247,2409.824339,19
43,100,0.039065421,0.04,0.056989247,2909.058898,30
44,100,0.032803738,0.04,0.086989247,2805.899787,29
45,100,0.04046729,0.06,0.076236559,2010.375272,15
46,100,0.059065421,0.04,0.046989247,2608.228677,30
47,100,0.032803738,0.05,0.049247312,2609.99434,24
48,100,0.044579439,0.11,0.110967742,3010.333235,22
49,100,0.049065421,0.05,0.047311828,2408.250334,18
50,100,0.032149533,0.04,0.036989247,3309.905973,24
,,0.040629907,0.0708,0.073909677,,
