percentage,low-Degree=0,medium-Degree=0,high-Degree=0,low-Degree=1,medium-Degree=1,high-Degree=1,low-Degree=2,medium-Degree=2,high-Degree=2,low-Degree=3,medium-Degree=3,high-Degree=3,low-Degree=4,medium-Degree=4,high-Degree=4,low-Degree=5,medium-Degree=5,high-Degree=5,low-Degree=6,medium-Degree=6,high-Degree=6,low-Degree=7,medium-Degree=7,high-Degree=7,low-Degree=8,medium-Degree=8,high-Degree=8,low-Degree=9,medium-Degree=9,high-Degree=9,low-Degree=10,medium-Degree=10,high-Degree=10,low-Degree=11,medium-Degree=11,high-Degree=11,low-Degree=12,medium-Degree=12,high-Degree=12,low-Degree=13,medium-Degree=13,high-Degree=13,low-Degree=14,medium-Degree=14,high-Degree=14,low-Degree=15,medium-Degree=15,high-Degree=15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.05555555555555555,0.08490566037735849,0.6086956521739131,0.6464646464646465,0.6770833333333334,0.13131313131313133,0.16161616161616163,0.18681318681318682,0.01834862385321101,0.030612244897959183,0.053763440860215055,0.0,0.010869565217391304,0.028037383177570093,0.0,0.009708737864077669,0.018867924528301886,0.0,0.009900990099009901,0.021739130434782608,0.0,0.02,0.038461538461538464,0.0,0.009433962264150943,0.019801980198019802,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.009615384615384616,0.01020408163265306,0.010638297872340425,0.0,0.0,0.0,0.05102040816326531,0.06593406593406594,0.09433962264150944,0.5945945945945946,0.631578947368421,0.660377358490566,0.12727272727272726,0.1595744680851064,0.1827956989247312,0.01818181818181818,0.030927835051546393,0.05405405405405406,0.0,0.010752688172043012,0.027777777777777776,0.0,0.009900990099009901,0.018691588785046728,0.0,0.010309278350515464,0.021505376344086023,0.0,0.019801980198019802,0.03296703296703297,0.0,0.009615384615384616,0.0196078431372549,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.026785714285714284,0.02830188679245283,0.03,0.0,0.0,0.0,0.0660377358490566,0.08333333333333333,0.10869565217391304,0.5729166666666666,0.6082474226804123,0.6371681415929203,0.12149532710280374,0.15151515151515152,0.17475728155339806,0.018018018018018018,0.030303030303030304,0.05309734513274336,0.0,0.010416666666666666,0.02727272727272727,0.0,0.01,0.018867924528301886,0.0,0.010526315789473684,0.021505376344086023,0.008928571428571428,0.01904761904761905,0.03125,0.0,0.009615384615384616,0.019230769230769232,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0392156862745098,0.041237113402061855,0.043010752688172046,0.0,0.0,0.0,0.08,0.09574468085106383,0.11926605504587157,0.5544554455445545,0.5894736842105263,0.6185567010309279,0.11711711711711711,0.14705882352941177,0.16964285714285715,0.017543859649122806,0.03,0.05263157894736842,0.0,0.010309278350515464,0.026785714285714284,0.0,0.010101010101010102,0.019230769230769232,0.008771929824561403,0.010526315789473684,0.02127659574468085,0.008849557522123894,0.018518518518518517,0.03,0.0,0.009433962264150943,0.01904761904761905,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.05263157894736842,0.056074766355140186,0.0594059405940594,0.0,0.0,0.0,0.09278350515463918,0.10891089108910891,0.13157894736842105,0.5368421052631579,0.57,0.5980392156862745,0.1134020618556701,0.14035087719298245,0.16216216216216217,0.017241379310344827,0.02912621359223301,0.052083333333333336,0.0,0.01020408163265306,0.02631578947368421,0.0,0.01,0.019417475728155338,0.008928571428571428,0.010638297872340425,0.02608695652173913,0.008771929824561403,0.017857142857142856,0.02830188679245283,0.0,0.009259259259259259,0.018518518518518517,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.06862745098039216,0.0707070707070707,0.07216494845360824,0.0,0.0,0.0,0.10344827586206896,0.12037037037037036,0.14285714285714285,0.5196078431372549,0.5520833333333334,0.58,0.11,0.1346153846153846,0.15625,0.010526315789473684,0.028846153846153848,0.05128205128205128,0.0,0.010101010101010102,0.02608695652173913,0.0,0.01,0.0196078431372549,0.008928571428571428,0.017241379310344827,0.02586206896551724,0.008620689655172414,0.017241379310344827,0.02654867256637168,0.0,0.009009009009009009,0.017857142857142856,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.08163265306122448,0.08411214953271028,0.08737864077669903,0.0,0.0,0.0,0.11320754716981132,0.13131313131313133,0.15254237288135594,0.5045045045045045,0.5353535353535354,0.5612244897959183,0.10526315789473684,0.13,0.15151515151515152,0.010309278350515464,0.028037383177570093,0.050505050505050504,0.0,0.01,0.02586206896551724,0.0,0.01,0.0196078431372549,0.008928571428571428,0.017094017094017096,0.02586206896551724,0.008547008547008548,0.010309278350515464,0.020618556701030927,0.0,0.008771929824561403,0.01694915254237288,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.09523809523809523,0.09803921568627451,0.1,0.0,0.0,0.0,0.12264150943396226,0.1414141414141414,0.16216216216216217,0.48739495798319327,0.5188679245283019,0.5454545454545454,0.10101010101010101,0.125,0.1452991452991453,0.010101010101010102,0.027522935779816515,0.05,0.0,0.009900990099009901,0.025423728813559324,0.008403361344537815,0.009900990099009901,0.0196078431372549,0.008849557522123894,0.017094017094017096,0.025423728813559324,0.008403361344537815,0.010101010101010102,0.02,0.0,0.00847457627118644,0.010101010101010102,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.10810810810810811,0.1111111111111111,0.11428571428571428,0.0,0.0,0.0,0.1322314049586777,0.1504424778761062,0.17117117117117117,0.47413793103448276,0.504424778761062,0.5294117647058824,0.09821428571428571,0.12,0.14,0.01,0.02727272727272727,0.04918032786885246,0.0,0.009900990099009901,0.025210084033613446,0.00847457627118644,0.009900990099009901,0.019801980198019802,0.008771929824561403,0.01680672268907563,0.025,0.00819672131147541,0.009900990099009901,0.0196078431372549,0.0,0.008130081300813009,0.009900990099009901,0.0,0.0,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,0.12149532710280374,0.125,0.12745098039215685,0.0,0.0,0.0,0.14150943396226415,0.1588785046728972,0.1792452830188679,0.45901639344262296,0.48739495798319327,0.5142857142857142,0.09401709401709402,0.11538461538461539,0.1346153846153846,0.00980392156862745,0.02702702702702703,0.04838709677419355,0.008130081300813009,0.00980392156862745,0.025,0.00847457627118644,0.009900990099009901,0.0196078431372549,0.008695652173913044,0.016666666666666666,0.02459016393442623,0.0,0.009615384615384616,0.01904761904761905,0.0,0.0,0.009708737864077669,0.0,0.0,0.008849557522123894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
